Month,Temp (Â°C),Precipitation (mm),Humidity (%),Population
1,20.704608294930875,0.471889400921659,65.16036866359447,3130000.0
2,22.704040404040402,0.01818181818181818,53.93282828282829,3130000.0
3,25.708755760368664,0.16866359447004609,50.244239631336406,3130000.0
4,28.542380952380952,0.5242857142857144,52.133809523809525,3130000.0
5,28.49124423963134,1.4308755760368663,62.931336405529954,3130000.0
6,26.015238095238093,6.015714285714285,80.05428571428573,3130000.0
7,24.15483870967742,8.517511520737328,89.19539170506913,3130000.0
8,23.84700460829493,4.752534562211982,88.54838709677419,3130000.0
9,24.12292682926829,6.606341463414634,86.74243902439025,3130000.0
10,24.429569892473115,5.597311827956989,77.00913978494624,3130000.0
11,22.97722222222222,1.0944444444444446,70.52611111111112,3130000.0
12,21.213978494623657,0.571505376344086,69.60430107526882,3130000.0
